id,name,product_type,url,price,old_price,discount,in_stock,image_url,rating,reviews_count,utp,sizes,count_sizes,fabrics,count_fabrics,room_1,room_2,room_3,room_4,room_5,room_6
1608079,"Кровать  Istra, цвет Сонома","Кровать ",https://askona.ru/krovati/istra-90-dub.htm?SELECTED_HASH_SIZE=90x200-64076ea5fa34605eff021e660aae5165,13266,20100,34,true,https://cdn.askona.ru/upload/catalog_product_images/krovati/istra-90-dub/istra-90-dub.jpg,4.9,11,,90&times;200,1,,1,Спальня,,,,,
1608080,"Кровать Istra, цвет Дуб Венге",Кровать,https://askona.ru/krovati/istra-90-venge.htm?SELECTED_HASH_SIZE=90x200-64076ea5fa34605eff021e660aae5165,13266,20100,34,true,https://cdn.askona.ru/upload/catalog_product_images/krovati/istra-90-venge/istra-90-venge.jpg,4.9,11,,90&times;200,1,,1,Спальня,,,,,
1658115,"Кровать с подъемным механизмом Innovo ice, цвет Венге мали","Кровать с подъемным механизмом",https://askona.ru/krovati/krovat-innovo-ice-venge.htm?SELECTED_HASH_SIZE=160x200-af13bfd624e1acd34f2103481efea402&amp;SELECTED_FABRIC_ID=1255828,34638,50200,31,true,https://cdn.askona.ru/upload/catalog_product_images/krovati/krovat-innovo-ice-venge/main.jpg,5,8,"Фактура дерева",160&times;200|180&times;200|140&times;200,3,"Casanova Stone|Casanova Chocolate ",2,Спальня,,,,,
1658146,"Кровать с подъемным механизмом Innovo ice, цвет Ясень шимо","Кровать с подъемным механизмом",https://askona.ru/krovati/krovat-innovo-ice-yasen.htm?SELECTED_HASH_SIZE=140x200-f31354d6a581d0e5fec502eca8f49d2d&amp;SELECTED_FABRIC_ID=1157050,30498,44200,31,true,https://cdn.askona.ru/upload/catalog_product_images/krovati/krovat-innovo-ice-yasen/krovati.jpg,5,8,"Фактура дерева",140&times;200|160&times;200|180&times;200,3,"Casanova Chocolate |Casanova Stone|Casanova Milk",3,Спальня,,,,,
1658238,"Кровать с подъемным механизмом  Amber ice, цвет Венге мали","Кровать с подъемным механизмом ",https://askona.ru/krovati/krovat-amber-ice-venge.htm?SELECTED_HASH_SIZE=180x200-89a1c27869ae35e1ac37bd8e2916084a&amp;SELECTED_FABRIC_ID=1157050,50778,65100,22,true,https://cdn.askona.ru/upload/catalog_product_images/krovati/krovat-amber-ice-venge/main.jpg,0,0,,180&times;200|160&times;200|140&times;200,3,"Casanova Chocolate ",1,Спальня,,,,,
1658239,"Кровать с подъемным механизмом  Amber ice, цвет Ясень шимо","Кровать с подъемным механизмом ",https://askona.ru/krovati/krovat-amber-ice-yasen.htm?SELECTED_HASH_SIZE=180x200-89a1c27869ae35e1ac37bd8e2916084a&amp;SELECTED_FABRIC_ID=1255829,50778,65100,22,true,https://cdn.askona.ru/upload/catalog_product_images/krovati/krovat-amber-ice-yasen/main.jpg,0,0,,180&times;200|140&times;200,2,"Casanova Milk|Casanova Chocolate ",2,Спальня,,,,,
1658216,"Кровать с подъемным механизмом Iren ice, цвет Венге","Кровать с подъемным механизмом",https://askona.ru/krovati/krovat-iren-ice-venge.htm?SELECTED_HASH_SIZE=160x200-af13bfd624e1acd34f2103481efea402,37170,41300,10,true,https://cdn.askona.ru/upload/catalog_product_images/krovati/krovat-iren-ice-venge/main.jpg,0,0,Элегантность,160&times;200|180&times;200|140&times;200,3,,1,Спальня,,,,,
1658217,"Кровать с подъемным механизмом Iren ice, цвет Белый премиум","Кровать с подъемным механизмом",https://askona.ru/krovati/krovat-iren-ice-white.htm?SELECTED_HASH_SIZE=180x200-89a1c27869ae35e1ac37bd8e2916084a,40950,45500,10,true,https://cdn.askona.ru/upload/catalog_product_images/krovati/krovat-iren-ice-white/krovat-iren-ice-white_1.jpg,0,0,Элегантность,180&times;200|160&times;200|140&times;200,3,,1,Спальня,,,,,
1658218,"Кровать с подъемным механизмом Iren ice, цвет Ясень шимо","Кровать с подъемным механизмом",https://askona.ru/krovati/krovat-iren-ice-yasen.htm?SELECTED_HASH_SIZE=140x200-f31354d6a581d0e5fec502eca8f49d2d,32220,35800,10,true,https://cdn.askona.ru/upload/catalog_product_images/krovati/krovat-iren-ice-yasen/main.jpg,0,0,Элегантность,140&times;200|160&times;200|180&times;200,3,,1,Спальня,,,,,
1658220,"Кровать с подъемным механизмом Iren ice, цвет Дуб бардолино","Кровать с подъемным механизмом",https://askona.ru/krovati/krovat-iren-ice-dub-bardolino.htm?SELECTED_HASH_SIZE=180x200-89a1c27869ae35e1ac37bd8e2916084a,40950,45500,10,true,https://cdn.askona.ru/upload/catalog_product_images/krovati/krovat-iren-ice-dub-bardolino/krovat-iren-ice-dub-bardolino.jpg,0,0,Элегантность,180&times;200|140&times;200|160&times;200,3,,1,Спальня,,,,,
1664606,"Кровать с подъемным механизмом Bliss ice, цвет Дуб Бардолино","Кровать с подъемным механизмом",https://askona.ru/krovati/krovat-bliss-ice-dub.htm?SELECTED_HASH_SIZE=160x200-af13bfd624e1acd34f2103481efea402&amp;SELECTED_FABRIC_ID=1255829,40612,57200,29,true,https://cdn.askona.ru/upload/catalog_product_images/krovati/krovat-bliss-ice-dub/main.jpg,0,0,"Фактура дерева",160&times;200|180&times;200|140&times;200,3,"Casanova Milk|Casanova Stone",2,Спальня,,,,,
1664868,"Кровать с подъемным механизмом Bliss ice, цвет Венге","Кровать с подъемным механизмом",https://askona.ru/krovati/krovat-bliss-ice-venge.htm?SELECTED_HASH_SIZE=160x200-af13bfd624e1acd34f2103481efea402&amp;SELECTED_FABRIC_ID=1255828,40612,57200,29,true,https://cdn.askona.ru/upload/catalog_product_images/krovati/krovat-bliss-ice-venge/main.jpg,0,0,"Фактура дерева",160&times;200|180&times;200|140&times;200,3,"Casanova Stone|Casanova Chocolate ",2,Спальня,,,,,
1665143,"Кровать с подъемным механизмом Bliss ice, цвет Ясень","Кровать с подъемным механизмом",https://askona.ru/krovati/krovat-bliss-ice-yasen.htm?SELECTED_HASH_SIZE=160x200-af13bfd624e1acd34f2103481efea402&amp;SELECTED_FABRIC_ID=1255829,40612,57200,29,true,https://cdn.askona.ru/upload/catalog_product_images/krovati/krovat-bliss-ice-yasen/main.jpg,0,0,"Фактура дерева",160&times;200|140&times;200,2,"Casanova Milk|Casanova Stone|Casanova Chocolate |Dumont 24",4,Спальня,,,,,
1665373,"Кровать с подъемным механизмом Bliss ice, цвет Белый премиум","Кровать с подъемным механизмом",https://askona.ru/krovati/krovat-bliss-ice-white.htm?SELECTED_HASH_SIZE=160x200-af13bfd624e1acd34f2103481efea402&amp;SELECTED_FABRIC_ID=1255829,40612,57200,29,true,https://cdn.askona.ru/upload/catalog_product_images/krovati/krovat-bliss-ice-white/casanova-milk/main.jpg,0,0,"Фактура дерева",160&times;200|180&times;200|140&times;200,3,"Casanova Milk|Casanova Grey",2,Спальня,,,,,
1665826,"Кровать Glory ice, цвет Дуб бардолино",Кровать,https://askona.ru/krovati/krovat-glory-ice-dub.htm?SELECTED_HASH_SIZE=180x200-89a1c27869ae35e1ac37bd8e2916084a,14784,22400,34,true,https://cdn.askona.ru/upload/catalog_product_images/krovati/krovat-glory-ice-dub/main.jpg,5,1,,180&times;200|160&times;200,2,,1,Спальня,,,,,
1666029,"Кровать Glory ice, цвет Ясень",Кровать,https://askona.ru/krovati/krovat-glory-ice-yasen.htm?SELECTED_HASH_SIZE=180x200-89a1c27869ae35e1ac37bd8e2916084a,14784,22400,34,true,https://cdn.askona.ru/upload/catalog_product_images/krovati/krovat-glory-ice-yasen/main.jpg,5,1,,180&times;200,1,,1,Спальня,,,,,
1666030,"Кровать Glory ice, цвет Венге",Кровать,https://askona.ru/krovati/krovat-glory-ice-venge.htm?SELECTED_HASH_SIZE=140x200-f31354d6a581d0e5fec502eca8f49d2d,13266,20100,34,true,https://cdn.askona.ru/upload/catalog_product_images/krovati/krovat-glory-ice-venge/main.jpg,5,1,,140&times;200,1,,1,Спальня,,,,,
1666451,"Кровать Glory ice, цвет Белый премиум",Кровать,https://askona.ru/krovati/krovat-glory-ice-white.htm?SELECTED_HASH_SIZE=180x200-89a1c27869ae35e1ac37bd8e2916084a,14784,22400,34,true,https://cdn.askona.ru/upload/catalog_product_images/krovati/krovat-glory-ice-white/main.jpg,5,1,,180&times;200,1,,1,Спальня,,,,,
1666907,"Кровать с подъемным механизмом Glory ice, цвет Дуб бардолино","Кровать с подъемным механизмом",https://askona.ru/krovati/krovat-glory-ice-dub-pm.htm?SELECTED_HASH_SIZE=140x200-f31354d6a581d0e5fec502eca8f49d2d,25608,38800,34,true,https://cdn.askona.ru/upload/catalog_product_images/krovati/krovat-glory-ice-dub-pm/main.jpg,5,1,,140&times;200|160&times;200|180&times;200,3,,1,Спальня,,,,,
1666970,"Кровать с подъемным механизмом Glory ice, цвет Ясень","Кровать с подъемным механизмом",https://askona.ru/krovati/krovat-glory-ice-yasen-pm.htm?SELECTED_HASH_SIZE=140x200-f31354d6a581d0e5fec502eca8f49d2d,25608,38800,34,true,https://cdn.askona.ru/upload/catalog_product_images/krovati/krovat-glory-ice-yasen-pm/main.jpg,5,1,,140&times;200|160&times;200|180&times;200,3,,1,Спальня,,,,,
